Book Id,Title,Author,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count,Series
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,9780812511819.0,5,4.17,Tor Books,814.0,1990.0,1990.0,2020-07-20,2020-02-26,favorites,1,The Wheel of Time
16031812,"A Memory of Light (Wheel of Time, #14)",Robert Jordan,,5,4.5,Tor Books,1025.0,2013.0,2013.0,2020-08-11,2020-08-09,"books_worth_rereading, favorites",1,Wheel of Time
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,,5,4.09,"Little, Brown Books for Young Readers",370.0,2018.0,2018.0,2020-08-26,2020-04-25,"books_i_own, favorites",1,The Folk of the Air
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,9780756404734.0,5,4.54,DAW Books,994.0,2011.0,2011.0,2020-03-26,2020-03-25,"books_worth_rereading, favorites, books_i_own",2,The Kingkiller Chronicle
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,9780316310338.0,5,4.33,"Little, Brown Books for Young Readers",336.0,2019.0,2019.0,2020-08-27,2020-04-25,books_i_own,1,The Folk of the Air
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,9780765316882.0,5,4.35,Tor Books,590.0,2007.0,2007.0,2020-04-05,2020-03-30,"books_worth_rereading, favorites, books_i_own",1,Mistborn
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,9780141382890.0,5,4.34,Puffin Books,320.0,2007.0,2007.0,2020-10-13,2020-02-26,books_i_own,3,Percy Jackson and the Olympians
42769202,"Starsight (Skyward, #2)",Brandon Sanderson,9781473217904.0,5,4.42,Orion Publishing Co,461.0,2019.0,2019.0,2020-07-13,2020-07-03,books_i_own,1,Skyward
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,9781473217850.0,5,4.5,Gollancz,513.0,2018.0,2018.0,2020-07-05,2020-07-03,"books_worth_rereading, favorites, books_i_own",1,Skyward
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,9780786856862.0,5,4.24,Hyperion Books,279.0,2006.0,2006.0,2020-10-13,2020-04-02,books_i_own,2,Percy Jackson and the Olympians
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,9780765311788.0,5,4.44,Tor Books,541.0,2006.0,2006.0,2020-03-30,2020-03-26,"books_worth_rereading, favorites, books_i_own",2,Mistborn
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,9780756404079.0,5,4.51,Penguin Group DAW,662.0,2007.0,2007.0,2020-03-24,2020-02-27,"books_worth_rereading, favorites, books_i_own",2,The Kingkiller Chronicle
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,9780765316899.0,5,4.48,Tor Books,572.0,2008.0,2008.0,2020-04-08,2020-03-30,"books_worth_rereading, favorites, books_i_own",1,Mistborn
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,9781416914297.0,4,4.13,Margaret K. McElderry Books,453.0,2008.0,2008.0,2020-10-05,2020-04-11,books_i_own,1,The Mortal Instruments
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,9780553381696.0,5,4.4,Bantam,969.0,2002.0,1998.0,2020-12-13,2020-02-26,books_i_own,1,A Song of Ice and Fire
28006109,"The Tyrant’s Tomb (The Trials of Apollo, #4)",Rick Riordan,9781368001441.0,5,4.34,Disney-Hyperion,439.0,2019.0,2019.0,2020-05-09,2020-02-26,books_i_own,1,The Trials of Apollo
7541858,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,,4,4.08,Margaret K. McElderry Books,485.0,2009.0,2007.0,2020-10-04,2020-02-26,books_i_own,1,The Mortal Instruments
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,,5,4.39,Hyperion Books for Children,361.0,2008.0,2008.0,2020-10-14,2020-02-26,books_i_own,2,Percy Jackson and the Olympians
65605,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,9780060764906.0,4,4.04,HarperCollins Publishers,221.0,2005.0,1955.0,2020-11-04,2020-07-13,unfinished_series,1,Chronicles of Narnia
23174274,"Glass Sword (Red Queen, #2)",Victoria Aveyard,9780062310668.0,4,3.84,HarperTeen,444.0,2016.0,2016.0,2020-09-02,2020-09-01,"gave_up, unfinished_series",1,Red Queen
22328546,"Red Queen (Red Queen, #1)",Victoria Aveyard,9780062310637.0,5,4.03,HarperTeen,383.0,2015.0,2015.0,2020-09-01,2020-08-31,unfinished_series,1,Red Queen
13612965,"The Bronze Key (Magisterium,  #3)",Holly Black,9780545522311.0,5,4.1,Scholastic,249.0,2016.0,2016.0,2020-11-08,2020-11-08,favorites,1,Magisterium
1166599,"The Gathering Storm (The Wheel of Time, #12)",Robert Jordan,9780765302304.0,5,4.37,Tor Books,783.0,2009.0,2009.0,2020-08-08,2020-07-08,"books_worth_rereading, favorites",1,The Wheel of Time
18635016,"The One (The Selection, #3)",Kiera Cass,9780062059994.0,4,4.18,HarperTeen,323.0,2014.0,2014.0,2020-08-31,2020-08-30,"books_worth_rereading, favorites",1,The Selection
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,9780345539786.0,5,4.23,Del Rey,382.0,2014.0,2014.0,2020-09-29,2020-09-24,"books_worth_rereading, favorites",1,Red Rising Saga
1268479,"Warbreaker (Warbreaker, #1)",Brandon Sanderson,,5,4.27,Self-published,688.0,2009.0,2009.0,2020-06-27,2020-06-14,"books_worth_rereading, favorites",1,Warbreaker
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,9780765326362.0,5,4.73,Tor Books,1087.0,2014.0,2014.0,2020-06-14,2020-05-25,"books_worth_rereading, favorites",1,The Stormlight Archive
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,9780765326355.0,5,4.61,Tor Books,1007.0,2010.0,2010.0,2020-06-09,2020-02-26,"books_worth_rereading, favorites",1,The Stormlight Archive
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,9780061020681.0,5,4.21,Harpertorch,243.0,2001.0,1987.0,2020-12-01,2020-11-27,read,1,"Discworld, #4; Death"
26114421,"The Dark Talent (Alcatraz, #5)",Brandon Sanderson,9780765381408.0,5,4.1,Starscape,281.0,2016.0,2016.0,2020-11-25,2020-11-25,read,1,Alcatraz
7740659,"Alcatraz Versus the Shattered Lens (Alcatraz, #4)",Brandon Sanderson,9780439925570.0,4,4.13,Scholastic Press,294.0,2010.0,2010.0,2020-11-25,2020-11-24,read,1,Alcatraz
53439886,"How the King of Elfhame Learned to Hate Stories (The Folk of the Air, #3.5)",Holly Black,9780316540827.0,4,4.25,"Little, Brown Books for Young Readers",200.0,2020.0,2020.0,2020-11-25,2020-11-05,read,1,The Folk of the Air
6366110,"Alcatraz Versus the Knights of Crystallia (Alcatraz, #3)",Brandon Sanderson,9780439925556.0,4,4.12,Scholastic Press,299.0,2009.0,2009.0,2020-11-24,2020-11-23,read,1,Alcatraz
3485562,"Alcatraz Versus the Scrivener's Bones (Alcatraz, #2)",Brandon Sanderson,9780439925532.0,5,4.13,Scholastic Press,322.0,2008.0,2008.0,2020-11-23,2020-11-16,read,1,Alcatraz
17250966,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,,5,4.62,Tor Books,1270.0,2020.0,2020.0,2020-11-21,2020-05-25,read,1,The Stormlight Archive
