endTime,artistName,trackName,Minutes Played,Day,Week,Month
2021-12-23 15:37:00,Taylor Swift,Untouchable (Taylor’s Version),3.11,23,51,12
2021-12-24 02:37:00,Adele,Easy On Me,3.74,24,51,12
2021-12-24 02:42:00,Adele,Someone Like You,4.75,24,51,12
2021-12-24 02:47:00,Adele,Love In The Dark,4.77,24,51,12
2021-12-24 02:51:00,Adele,Rolling in the Deep,3.8,24,51,12
2021-12-24 02:54:00,Adele,Chasing Pavements,3.51,24,51,12
2021-12-24 03:09:00,Adele,Set Fire to the Rain,3.89,24,51,12
2021-12-24 06:18:00,Adele,Water Under the Bridge,4.01,24,51,12
2021-12-24 06:23:00,Adele,When We Were Young,4.85,24,51,12
2021-12-24 06:28:00,Adele,Hello,4.93,24,51,12
2021-12-24 06:41:00,Adele,Easy On Me,3.33,24,51,12
2021-12-24 06:49:00,Adele,One And Only,5.8,24,51,12
2021-12-24 06:52:00,Adele,Chasing Pavements,3.51,24,51,12
2021-12-24 06:57:00,Adele,Tired,4.31,24,51,12
2021-12-24 07:00:00,Adele,Remedy,2.9,24,51,12
2021-12-24 07:04:00,Adele,Love In The Dark,4.77,24,51,12
2021-12-24 07:17:00,Adele,All I Ask,2.73,24,51,12
2021-12-24 07:27:00,Adele,All I Ask,1.8,24,51,12
2021-12-24 07:31:00,Adele,Set Fire to the Rain,4.05,24,51,12
2021-12-24 07:35:00,Adele,Don't You Remember,4.05,24,51,12
2021-12-24 07:40:00,Adele,Someone Like You,4.75,24,51,12
2021-12-24 07:44:00,Adele,Water Under the Bridge,4.01,24,51,12
2021-12-24 07:49:00,Adele,When We Were Young,4.85,24,51,12
2021-12-24 07:54:00,Adele,Hello,4.93,24,51,12
2021-12-24 07:58:00,Adele,Easy On Me,3.74,24,51,12
2021-12-24 08:11:00,Adele,One And Only,3.77,24,51,12
2021-12-24 11:22:00,Adele,Love In The Dark,4.77,24,51,12
2021-12-24 11:27:00,Adele,Someone Like You,4.75,24,51,12
2021-12-24 11:30:00,Adele,Chasing Pavements,3.51,24,51,12
2021-12-24 11:34:00,Adele,Don't You Remember,4.05,24,51,12
2021-12-24 11:40:00,Adele,One And Only,5.8,24,51,12
2021-12-24 11:44:00,Adele,Water Under the Bridge,4.01,24,51,12
2021-12-24 11:58:00,Adele,When We Were Young,3.38,24,51,12
2021-12-24 12:06:00,Taylor Swift,this is me trying,3.25,24,51,12
2021-12-24 12:09:00,Taylor Swift,Red (Taylor's Version),3.72,24,51,12
2021-12-24 12:13:00,Taylor Swift,mad woman,3.95,24,51,12
2021-12-24 12:26:00,Taylor Swift,Begin Again (Taylor's Version),2.34,24,51,12
2021-12-24 12:33:00,Taylor Swift,Begin Again (Taylor's Version),1.65,24,51,12
2021-12-24 12:38:00,Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),3.22,24,51,12
2021-12-24 12:41:00,Taylor Swift,I Think He Knows,2.89,24,51,12
2021-12-24 12:47:00,Taylor Swift,Enchanted,5.87,24,51,12
2021-12-24 12:51:00,Taylor Swift,Fearless (Taylor’s Version),4.03,24,51,12
2021-12-24 12:54:00,Taylor Swift,hoax,3.67,24,51,12
2021-12-24 12:58:00,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4.0,24,51,12
2021-12-24 13:03:00,Taylor Swift,champagne problems,4.07,24,51,12
2021-12-24 13:09:00,Taylor Swift,Untouchable (Taylor’s Version),5.2,24,51,12
2021-12-24 13:13:00,Taylor Swift,I Knew You Were Trouble (Taylor's Version),3.66,24,51,12
2021-12-24 13:16:00,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),3.22,24,51,12
2021-12-24 13:27:00,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),10.22,24,51,12
2021-12-24 13:30:00,Taylor Swift,Lover,3.69,24,51,12
2021-12-24 13:34:00,Taylor Swift,This Is Why We Can't Have Nice Things,3.45,24,51,12
2021-12-24 13:37:00,Taylor Swift,the 1,3.5,24,51,12
2021-12-24 13:58:00,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),0.62,24,51,12
2021-12-24 14:23:00,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),1.53,24,51,12
2021-12-24 15:12:00,Miranda Lambert,Settling Down,3.29,24,51,12
2021-12-24 15:17:00,Billie Eilish,Happier Than Ever,4.98,24,51,12
2021-12-24 15:27:00,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),10.22,24,51,12
2021-12-24 15:31:00,Alan Walker,Darkside,3.53,24,51,12
2021-12-24 15:32:00,Taylor Swift,august,1.28,24,51,12
2021-12-25 01:57:00,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),4.31,25,51,12
2021-12-25 02:01:00,Taylor Swift,my tears ricochet,4.26,25,51,12
2021-12-25 02:05:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),3.68,25,51,12
2021-12-25 02:09:00,Taylor Swift,tolerate it,4.09,25,51,12
2021-12-25 02:13:00,Taylor Swift,You Belong With Me (Taylor’s Version),3.85,25,51,12
2021-12-25 02:18:00,Taylor Swift,betty,4.91,25,51,12
2021-12-25 02:22:00,Taylor Swift,cardigan,3.99,25,51,12
2021-12-25 02:26:00,Taylor Swift,Style,3.85,25,51,12
2021-12-25 02:30:00,Taylor Swift,Getaway Car,3.89,25,51,12
2021-12-25 04:18:00,Shawn Mendes,Where Were You In The Morning?,3.34,25,51,12
2021-12-25 06:36:00,Ed Sheeran,Perfect,2.67,25,51,12
2021-12-25 07:21:00,Ed Sheeran,Perfect,1.73,25,51,12
2021-12-25 10:46:00,Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")",4.56,25,51,12
2021-12-25 10:51:00,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",4.67,25,51,12
2021-12-25 10:55:00,Lady Gaga,Shallow - Radio Edit,3.62,25,51,12
2021-12-25 11:00:00,Lady Gaga,I'll Never Love Again - Extended Version,5.48,25,51,12
2021-12-25 11:04:00,Taylor Swift,Tim McGraw,3.87,25,51,12
2021-12-25 11:21:00,Britney Spears,Criminal,3.51,25,51,12
2021-12-25 13:53:00,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",3.74,25,51,12
2021-12-25 13:57:00,Lady Gaga,Always Remember Us This Way,3.5,25,51,12
2021-12-25 14:03:00,Taylor Swift,Enchanted,5.87,25,51,12
2021-12-25 14:20:00,Camila Cabello,Shameless,3.66,25,51,12
2021-12-25 14:23:00,Shawn Mendes,There's Nothing Holdin' Me Back,3.32,25,51,12
2021-12-25 14:28:00,Adele,Love In The Dark,4.77,25,51,12
2021-12-25 14:31:00,Ed Sheeran,Afterglow,2.19,25,51,12
2021-12-25 14:32:00,Ed Sheeran,Afterglow,0.92,25,51,12
2021-12-25 14:35:00,Maren Morris,The Bones,3.29,25,51,12
2021-12-25 14:39:00,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4.0,25,51,12
2021-12-25 14:44:00,Christina Perri,A Thousand Years,4.75,25,51,12
2021-12-25 14:49:00,Céline Dion,Let's Talk About Love,5.21,25,51,12
2021-12-25 14:52:00,Céline Dion,I'm Alive,3.5,25,51,12
2021-12-25 15:02:00,Adele,Love In The Dark,4.77,25,51,12
2021-12-25 15:05:00,Lady Gaga,Always Remember Us This Way,3.5,25,51,12
2021-12-25 15:11:00,Taylor Swift,Enchanted,5.87,25,51,12
2021-12-25 15:15:00,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",3.39,25,51,12
2021-12-25 15:18:00,Alan Walker,Darkside,3.53,25,51,12
2021-12-25 15:23:00,Taylor Swift,exile (feat. Bon Iver),4.76,25,51,12
2021-12-25 15:27:00,Taylor Swift,All Too Well,3.86,25,51,12
2021-12-25 15:32:00,Céline Dion,Where Does My Heart Beat Now,3.84,25,51,12
2021-12-25 15:33:00,Céline Dion,Where Does My Heart Beat Now,0.72,25,51,12
2021-12-26 03:10:00,Adele,Easy On Me,3.74,26,51,12
2021-12-26 03:14:00,Adele,Hello,4.93,26,51,12
2021-12-26 03:20:00,Adele,One And Only,5.8,26,51,12
2021-12-26 03:24:00,Adele,Don't You Remember,4.05,26,51,12
2021-12-26 03:28:00,Adele,Remedy,4.09,26,51,12
2021-12-26 03:32:00,Adele,Make You Feel My Love,3.53,26,51,12
2021-12-26 03:36:00,Adele,Rolling in the Deep,3.8,26,51,12
2021-12-26 03:44:00,Adele,All I Ask,4.53,26,51,12
2021-12-26 03:47:00,Adele,Chasing Pavements,3.51,26,51,12
2021-12-26 03:52:00,Adele,Someone Like You,4.75,26,51,12
2021-12-26 03:57:00,Adele,When We Were Young,4.85,26,51,12
2021-12-26 04:01:00,Adele,I'll Be Waiting,4.02,26,51,12
2021-12-26 04:06:00,Adele,Love In The Dark,4.77,26,51,12
2021-12-26 04:12:00,Adele,Water Under the Bridge,4.01,26,51,12
2021-12-26 04:16:00,Adele,Tired,4.31,26,51,12
2021-12-26 04:20:00,Adele,Set Fire to the Rain,4.05,26,51,12
2021-12-26 04:24:00,Adele,Easy On Me,3.74,26,51,12
2021-12-26 04:41:00,Adele,Hello,3.52,26,51,12
2021-12-26 06:43:00,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),4.31,26,51,12
2021-12-26 06:47:00,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4.0,26,51,12
2021-12-26 06:51:00,Taylor Swift,my tears ricochet,4.26,26,51,12
2021-12-26 06:56:00,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),4.31,26,51,12
2021-12-26 07:09:00,Taylor Swift,champagne problems,3.6,26,51,12
2021-12-26 07:21:00,Taylor Swift,willow,3.58,26,51,12
2021-12-26 07:26:00,Taylor Swift,august,4.37,26,51,12
2021-12-26 07:31:00,Taylor Swift,exile (feat. Bon Iver),4.76,26,51,12
2021-12-26 07:31:00,Taylor Swift,Blank Space,0.62,26,51,12
2021-12-26 07:37:00,Taylor Swift,Enchanted,5.87,26,51,12
2021-12-26 07:39:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),1.6,26,51,12
2021-12-26 07:41:00,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),2.06,26,51,12
2021-12-26 07:46:00,Taylor Swift,evermore (feat. Bon Iver),5.07,26,51,12
2021-12-26 07:50:00,Taylor Swift,Love Story (Taylor’s Version),3.93,26,51,12
2021-12-26 07:54:00,Taylor Swift,invisible string,4.21,26,51,12
2021-12-26 07:58:00,Taylor Swift,Style,3.85,26,51,12
2021-12-26 08:01:00,Taylor Swift,I Think He Knows,2.89,26,51,12
2021-12-26 08:06:00,Taylor Swift,exile (feat. Bon Iver),4.76,26,51,12
2021-12-26 08:10:00,Taylor Swift,Begin Again (Taylor's Version),3.98,26,51,12
2021-12-26 08:13:00,Taylor Swift,Our Song,3.35,26,51,12
2021-12-26 09:10:00,Taylor Swift,Fearless (Taylor’s Version),1.61,26,51,12
2021-12-26 09:14:00,Taylor Swift,tolerate it,4.09,26,51,12
2021-12-26 09:18:00,Taylor Swift,august,4.37,26,51,12
2021-12-26 09:22:00,Taylor Swift,Getaway Car,3.89,26,51,12
2021-12-26 09:37:00,Taylor Swift,We Were Happy (Taylor’s Version) (From The Vault),1.28,26,51,12
2021-12-26 10:09:00,Taylor Swift,We Were Happy (Taylor’s Version) (From The Vault),2.8,26,51,12
2021-12-26 10:18:00,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",8.89,26,51,12
