accuracy,precision,recall,f1,roc_auc
0.8532934131736527,0.8297872340425532,0.7707509881422925,0.7991803278688524,0.837182722986809
0.8517964071856288,0.8318965517241379,0.7628458498023716,0.7958762886597938,0.8344349730939569
0.8532934131736527,0.8414096916299559,0.7549407114624506,0.7958333333333333,0.8340968617553217
0.8323353293413174,0.8652849740932642,0.6600790513833992,0.7488789237668161,0.7987142244868802
0.8368263473053892,0.8130434782608695,0.7391304347826086,0.7743271221532091,0.8177579884756416
0.8368263473053892,0.8103448275862069,0.7430830039525692,0.7752577319587629,0.8185294537835136
0.9401197604790419,0.9733333333333334,0.8656126482213439,0.9163179916317992,0.9255774084480213
0.8368263473053892,0.7975206611570248,0.7628458498023716,0.7797979797979798,0.8223867803228725
0.9356287425149701,0.981651376146789,0.8458498023715415,0.9087048832271761,0.9181056240773371
0.8892215568862275,0.92018779342723,0.7747035573122529,0.8412017167381973,0.8668698509452831
0.9176646706586826,0.9459459459459459,0.8300395256916996,0.8842105263157894,0.9005619315205486
0.8607784431137725,0.8418803418803419,0.7786561264822134,0.8090349075975358,0.8447497499880947
0.9820359281437125,0.9878542510121457,0.9644268774703557,0.976,0.9785989809038526
0.9206586826347305,0.9385964912280702,0.8458498023715415,0.8898128898128898,0.9060574313062526
0.9715568862275449,0.9875,0.9367588932806324,0.9614604462474645,0.9647649888089909
0.8787425149700598,0.8873873873873874,0.7786561264822134,0.8294736842105263,0.8592075813133958
0.8547904191616766,0.819672131147541,0.7905138339920948,0.8048289738430584,0.8422448688032763
0.842814371257485,0.8109243697478992,0.7628458498023716,0.7861507128309573,0.8272060574313063
0.8592814371257484,0.8533333333333334,0.758893280632411,0.803347280334728,0.8396876041716272
