Book Id,Title,Author,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count,Series
57094644,Daughter of the Deep,Rick Riordan,9781368077927.0,5,4.33,Disney-Hyperion,352.0,2021.0,2021.0,2021-12-22,2021-09-21,read,1,Stand Alone
34601024,"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,,5,4.57,O'Reilly Media,566.0,2017.0,2017.0,2021-12-17,2021-11-27,read,1,Stand Alone
44492285,"Dune Messiah (Dune Chronicles, #2)",Frank Herbert,9780593098233.0,4,3.89,Ace Books,337.0,2019.0,1969.0,2021-12-16,2021-09-17,read,1,Dune Chronicles
43606157,"Cytonic (Skyward, #3)",Brandon Sanderson,9781473217935.0,5,4.19,Gollancz,409.0,2021.0,2021.0,2021-12-02,2021-05-26,read,1,Skyward
22514127,Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Al Sweigart,9781593275990.0,5,4.29,No Starch Press,479.0,2015.0,2014.0,2021-11-29,2021-11-21,read,1,Stand Alone
44767458,"Dune (Dune, #1)",Frank Herbert,9780593099322.0,5,4.24,Ace Books,688.0,2019.0,1965.0,2021-11-08,2020-04-11,read,1,Dune
57903879,ReDawn (Skyward #2.2),Brandon Sanderson,9780593566626.0,5,4.28,Delacorte Press,229.0,2021.0,2021.0,2021-11-05,2021-05-26,read,1,Stand Alone
57903876,Sunreach (Skyward #2.1),Brandon Sanderson,9780593566619.0,5,4.22,Delacorte Press,208.0,2021.0,2021.0,2021-09-29,2021-05-26,read,1,Stand Alone
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,9780812511819.0,5,4.17,Tor Books,814.0,1990.0,1990.0,2020-07-20,2020-02-26,favorites,1,The Wheel of Time
16031812,"A Memory of Light (Wheel of Time, #14)",Robert Jordan,,5,4.5,Tor Books,1025.0,2013.0,2013.0,2020-08-11,2020-08-09,"books_worth_rereading, favorites",1,Wheel of Time
35167718,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,9780393355642.0,5,4.11,W. W. Norton  Company,288.0,2018.0,1988.0,2021-09-09,2021-08-16,read,1,Stand Alone
35959740,Circe,Madeline Miller,9780316556347.0,5,4.26,"Little, Brown and Company",393.0,2018.0,2018.0,2021-08-31,2020-06-19,read,1,Stand Alone
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,9780751532715.0,5,4.1,Time Warner Books UK,195.0,2007.0,1997.0,2021-08-19,2021-07-06,read,1,Stand Alone
19063,The Book Thief,Markus Zusak,,5,4.38,Alfred A. Knopf,552.0,2006.0,2005.0,2021-08-13,2021-07-24,favorites,1,Stand Alone
31817749,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,,5,4.3,Orbit,416.0,2017.0,2017.0,2021-07-29,2021-06-04,read,1,The Broken Earth
26228034,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,,5,4.28,Orbit,410.0,2016.0,2016.0,2021-07-12,2021-06-04,read,1,The Broken Earth
817589,Learn to Earn: A Beginner's Guide to the Basics of Investing and Business,Peter Lynch,9780684811635.0,5,4.04,Simon  Schuster,272.0,1996.0,1995.0,2021-07-11,2021-07-06,read,1,Stand Alone
17999205,Computing with Quantum Cats: From Colossus to Qubits,John Gribbin,9780593071151.0,5,3.74,Bantam Press,304.0,2013.0,2013.0,2021-07-03,2021-05-08,read,1,Stand Alone
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,,5,4.28,Orbit,468.0,2015.0,2015.0,2021-06-26,2021-06-04,read,1,The Broken Earth
8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,,5,4.2,Del Rey,250.0,2005.0,1980.0,2021-06-21,2021-05-29,read,1,Hitchhiker's Guide to the Galaxy
54513688,"Realm Breaker (Realm Breaker, #1)",Victoria Aveyard,,3,3.7,Orion Publishing,576.0,2021.0,2021.0,2021-06-15,2021-06-09,read,1,Realm Breaker
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,,5,4.09,"Little, Brown Books for Young Readers",370.0,2018.0,2018.0,2020-08-26,2020-04-25,"books_i_own, favorites",1,The Folk of the Air
386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,,5,4.22,Del Rey,193.0,2007.0,1979.0,2021-06-08,2021-05-29,"books_worth_rereading, favorites",1,Hitchhiker's Guide to the Galaxy
31520883,"A ​Sky Beyond the Storm (An Ember in the Ashes, #4)",Sabaa Tahir,9780008288815.0,4,4.36,Razorbill,516.0,2021.0,2020.0,2021-06-04,2021-05-28,read,1,An Ember in the Ashes
