Book Id,Title,Author,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count,Series
26252859,"The Hidden Oracle (The Trials of Apollo, #1)",Rick Riordan,9.78E+12,5,4.19,Disney-Hyperion,384,2016,2016,04/24/2020,04/22/2020,read,1,The Trials of Apollo
31450852,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,9.78E+12,4,4.29,Bloomsbury USA Childrens,660,2017,2017,04/24/2020,04/11/2020,read,1,Throne of Glass
28260587,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,,4,4.52,Bloomsbury Children's Books,689,2016,2016,04/22/2020,04/11/2020,read,1,Throne of Glass
18006496,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,9.78E+12,4,4.53,Bloomsbury USA Childrens,648,2015,2015,04/18/2020,04/11/2020,read,1,Throne of Glass
20613470,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,9.78E+12,5,4.44,Bloomsbury USA Childrens,565,2014,2014,04/13/2020,04/10/2020,read,1,Throne of Glass
17167166,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,9.78E+12,5,4.36,Bloomsbury USA Childrens,420,2013,2013,04/10/2020,04/09/2020,read,1,Throne of Glass
13419891,"The Assassin and the Desert (Throne of Glass, #0.3)",Sarah J. Maas,,4,4.4,Bloomsbury USA Childrens,103,2012,2012,04/09/2020,04/09/2020,read,1,Throne of Glass
18333581,"The Assassin and the Healer (Throne of Glass, #0.2)",Sarah J. Maas,,4,4.22,Bloomsbury Publishing,40,2013,2012,04/10/2020,04/09/2020,read,1,Throne of Glass
13546173,"The Assassin and the Underworld (Throne of Glass, #0.4)",Sarah J. Maas,,5,4.36,Bloomsbury USA Childrens,102,2012,2012,04/10/2020,04/09/2020,read,1,Throne of Glass
13415554,"The Assassin and the Pirate Lord (Throne of Glass, #0.1)",Sarah J. Maas,,4,4.22,Bloomsbury Children’s,70,2012,2012,04/10/2020,04/09/2020,read,2,Throne of Glass
13565676,"The Assassin and the Empire (Throne of Glass, #0.5)",Sarah J. Maas,,5,4.41,Bloomsbury USA Children's,94,2012,2012,04/09/2020,04/09/2020,read,1,Throne of Glass
7896527,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,,5,4.18,Bloomsbury USA Children's,406,2012,2012,04/09/2020,04/08/2020,read,1,Throne of Glass
28006120,"The Ship of the Dead (Magnus Chase and the Gods of Asgard, #3)",Rick Riordan,9.78E+12,5,4.39,Disney-Hyperion Books,410,2017,2017,04/02/2020,03/26/2020,read,1,Magnus Chase and the Gods of Asgard
15724396,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,9.78E+12,5,4.22,Disney-Hyperion Books,499,2015,2015,03/14/2020,03/10/2020,read,1,Magnus Chase and the Gods of Asgard
27904311,"The Hammer of Thor (Magnus Chase and the Gods of Asgard, #2)",Rick Riordan,9.78E+12,4,4.34,Disney-Hyperion Books,459,2016,2016,03/20/2020,03/14/2020,read,1,Magnus Chase and the Gods of Asgard
