endTime,artistName,trackName,msPlayed
2021-01-06 13:11,Taylor Swift,exile (feat. Bon Iver),42512
2021-01-06 13:16,Taylor Swift,willow - dancing witch version (Elvira remix),251
2021-01-06 13:17,Taylor Swift,willow,19600
2021-01-06 13:22,Taylor Swift,happiness,1004
2021-01-06 13:22,Taylor Swift,tolerate it,245440
2021-01-06 13:26,Taylor Swift,tolerate it,245440
2021-01-06 13:28,Taylor Swift,cardigan,47076
2021-01-06 13:42,Taylor Swift,the 1,35430
2021-01-06 13:56,Taylor Swift,tolerate it,60002
2021-01-06 16:47,Taylor Swift,willow - lonely witch version,29675
2021-01-06 16:48,Taylor Swift,happiness,44326
2021-01-06 16:48,Taylor Swift,dorothea,0
2021-01-06 16:50,Taylor Swift,happiness,132051
2021-01-06 16:54,Taylor Swift,Tim McGraw,234546
2021-01-06 16:56,Taylor Swift,Picture To Burn,69
2021-01-06 16:56,Taylor Swift,Picture To Burn,14744
2021-01-06 16:56,Taylor Swift,Tim McGraw,1787
2021-01-06 17:00,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,204706
2021-01-06 17:03,Taylor Swift,A Place in this World,199200
2021-01-06 17:03,Taylor Swift,Cold As You,25905
2021-01-06 17:08,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",280000
2021-01-06 17:12,Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")",238535
2021-01-06 17:13,Taylor Swift,the 1,4459
2021-01-07 03:01,Taylor Swift,willow,197555
2021-01-07 03:03,Taylor Swift,evermore (feat. Bon Iver),118653
2021-01-07 03:04,Taylor Swift,All Too Well,7035
2021-01-07 03:07,Taylor Swift,Red,223093
2021-01-07 03:12,Taylor Swift,happiness,22733
2021-01-07 03:12,Taylor Swift,coney island (feat. The National),275320
2021-01-07 03:17,Taylor Swift,exile (feat. Bon Iver),285634
2021-01-07 03:21,Taylor Swift,cardigan,239560
2021-01-07 03:24,Taylor Swift,Daylight,162
2021-01-07 03:24,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),11192
2021-01-07 03:24,Taylor Swift,the 1,185264
2021-01-07 03:28,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),193000
2021-01-07 03:30,Taylor Swift,You Need To Calm Down,171360
2021-01-07 03:31,Taylor Swift,Death By A Thousand Cuts,41360
2021-01-07 03:33,Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",81502
2021-01-07 03:34,Christophe Beck,Introduction,59586
2021-01-07 03:40,Taylor Swift,Enchanted,352200
2021-01-07 03:40,Taylor Swift,mad woman,9345
2021-01-07 03:41,Idina Menzel,Baby It's Cold Outside (duet with Michael Bublé),34017
2021-01-07 03:42,Taylor Swift,Picture To Burn,51873
2021-01-07 03:42,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,30116
2021-01-07 03:43,Taylor Swift,A Place in this World,21223
2021-01-07 05:10,Taylor Swift,Enchanted,352200
2021-01-07 05:14,Taylor Swift,Red,223093
2021-01-07 05:19,Taylor Swift,exile (feat. Bon Iver),285634
2021-01-07 05:41,Taylor Swift,willow,214706
2021-01-07 05:45,Taylor Swift,the 1,210251
2021-01-07 05:48,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),193000
2021-01-07 05:51,Taylor Swift,this is me trying,195097
2021-01-07 05:55,Taylor Swift,cardigan,239560
2021-01-07 05:59,Taylor Swift,mad woman,237258
2021-01-07 06:03,Taylor Swift,tolerate it,245440
2021-01-07 06:08,Taylor Swift,evermore (feat. Bon Iver),304106
2021-01-07 06:12,Taylor Swift,You Belong With Me,231146
2021-01-07 06:16,Taylor Swift,peace,234000
2021-01-07 06:17,Lorde,Liability,25750
2021-01-07 08:01,Taylor Swift,Enchanted,58816
2021-01-07 08:07,Taylor Swift,Enchanted,352200
2021-01-07 08:11,Taylor Swift,Red,223093
2021-01-07 08:13,Taylor Swift,willow,125042
2021-01-07 09:51,Taylor Swift,willow,89673
2021-01-07 09:54,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),193000
2021-01-07 09:58,Taylor Swift,this is me trying,195097
2021-01-07 10:03,Taylor Swift,exile (feat. Bon Iver),285634
2021-01-07 10:35,Taylor Swift,cardigan,239560
2021-01-07 10:39,Taylor Swift,the 1,210251
2021-01-07 10:39,Taylor Swift,mad woman,19711
2021-01-07 10:47,Céline Dion,The Power of Love,342400
2021-01-07 10:48,Taylor Swift,evermore (feat. Bon Iver),98615
2021-01-07 10:51,Céline Dion,Unison,87446
2021-01-07 10:52,Céline Dion,I Feel Too Much,48831
2021-01-07 10:53,Céline Dion,(If There Was) Any Other Way,68777
2021-01-07 10:53,Susan Egan,I Won't Say (I'm In Love),27051
2021-01-07 10:54,Michael Bolton,Go the Distance,24241
2021-01-07 10:55,Roger Bart,Go the Distance,81316
2021-01-07 10:56,Mandy Moore,I See the Light,64551
2021-01-07 10:59,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",165278
2021-01-07 11:06,Taylor Swift,Enchanted,117330
2021-01-07 11:38,Taylor Swift,Enchanted,192022
2021-01-07 11:39,Taylor Swift,You Belong With Me,87924
2021-01-07 11:40,Taylor Swift,Enchanted,41833
2021-01-07 11:40,Taylor Swift,Enchanted,5665
2021-01-07 11:42,Taylor Swift,Enchanted,3691
2021-01-07 11:42,Taylor Swift,Enchanted,90010
2021-01-07 11:45,Taylor Swift,Enchanted,179037
2021-01-07 11:49,Taylor Swift,willow,214706
2021-01-07 11:52,Taylor Swift,the 1,210251
2021-01-07 11:56,Taylor Swift,cardigan,239560
2021-01-07 12:00,Taylor Swift,Red,223093
2021-01-07 12:01,Taylor Swift,peace,83652
2021-01-07 12:05,Taylor Swift,mad woman,237258
2021-01-07 12:07,Taylor Swift,You Belong With Me,24980
2021-01-07 12:07,Taylor Swift,You Belong With Me,80135
2021-01-07 12:07,Taylor Swift,You Belong With Me,15139
2021-01-07 12:08,Taylor Swift,You Belong With Me,22801
2021-01-07 12:09,Taylor Swift,You Belong With Me,8707
2021-01-07 12:09,Taylor Swift,You Belong With Me,63840
2021-01-07 12:09,Taylor Swift,peace,6130
2021-01-07 12:10,Taylor Swift,Red,55286
2021-01-07 12:22,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),5320
